Frame,Object.ID,Transformed.X,Transformed.Y,Spiel läuft,Game,Spieler schlägt,Speed
37,0,1.5538724882056858,-11.75494952093089,Nein,Spiel läuft nicht,Nein,0.9263227583093273
37,1,-2.581805810958218,13.331897259672914,Nein,Spiel läuft nicht,Nein,0.18839851187845355
38,1,-2.579437624865686,13.320894430326705,Nein,Spiel läuft nicht,Nein,0.1784366395499621
38,0,1.5581988744826523,-11.712449329519355,Nein,Spiel läuft nicht,Nein,1.0473039880480182
39,1,-2.5770320327754814,13.310865296271004,Nein,Spiel läuft nicht,Nein,0.19498642039935482
39,0,1.5644146567947557,-11.664361543382011,Nein,Spiel läuft nicht,Nein,1.1851100428486516
40,0,1.5715657793834414,-11.61307769015458,Nein,Spiel läuft nicht,Nein,1.323532553398389
40,1,-2.5748875892317966,13.30253564392111,Nein,Spiel läuft nicht,Nein,0.22510646334410583
41,1,-2.572024443242568,13.297689408717002,Nein,Spiel läuft nicht,Nein,0.2510352328160003
41,0,1.5784950825132782,-11.562831420428619,Nein,Spiel läuft nicht,Nein,1.4279915846426783
42,1,-2.5690011025478023,13.290857901729044,Nein,Spiel läuft nicht,Nein,0.25022810967568415
42,0,1.5819227235260584,-11.513114670467822,Nein,Spiel läuft nicht,Nein,1.4782894978200058
43,1,-2.565911562255045,13.283686300415983,Nein,Spiel läuft nicht,Nein,0.21863631555159527
43,0,1.5825710673215936,-11.459414156897548,Nein,Spiel läuft nicht,Nein,1.4632968419101753
44,1,-2.5592981760005267,13.281873733617159,Nein,Spiel läuft nicht,Nein,0.18704718685998456
44,0,1.581759457686264,-11.420165706170044,Nein,Spiel läuft nicht,Nein,1.371154241888092
45,1,-2.5545266077768103,13.282707605525548,Nein,Spiel läuft nicht,Nein,0.16296506805715266
45,0,1.5808773359119137,-11.39550104270608,Nein,Spiel läuft nicht,Nein,1.2099000081565807
46,0,1.5796596599246588,-11.375956171123244,Nein,Spiel läuft nicht,Nein,1.0098182122539656
46,1,-2.551028118036179,13.286440272852719,Nein,Spiel läuft nicht,Nein,0.14990329795662752
47,1,-2.548399047854029,13.29342391986092,Nein,Spiel läuft nicht,Nein,0.14923849422367838
47,0,1.577563368498403,-11.361418172314757,Nein,Spiel läuft nicht,Nein,0.8023012061238227
48,1,-2.5403265460379765,13.294455475609638,Nein,Spiel läuft nicht,Nein,0.16354600744791217
48,0,1.5740814932766143,-11.34793875711386,Nein,Spiel läuft nicht,Nein,0.6260766223079177
49,0,1.5689578748680935,-11.335831924675528,Nein,Spiel läuft nicht,Nein,0.49851721854120673
49,1,-2.5343556468189608,13.297767890205275,Nein,Spiel läuft nicht,Nein,0.18522139316277866
50,0,1.5628797347917753,-11.32364500394501,Nein,Spiel läuft nicht,Nein,0.42437964875247636
50,1,-2.5297396960477285,13.303232740340116,Nein,Spiel läuft nicht,Nein,0.20503878941803733
51,0,1.5555632729139797,-11.310773909882835,Nein,Spiel läuft nicht,Nein,0.40489986679910084
51,1,-2.5180045069196875,13.302257119432413,Nein,Spiel läuft nicht,Nein,0.22172604991416664
52,0,1.547161834557115,-11.297831577993938,Nein,Spiel läuft nicht,Nein,0.4355676505140399
52,1,-2.509400328616775,13.303613515476739,Nein,Spiel läuft nicht,Nein,0.2298965691175736
53,0,1.5376715312053864,-11.279359233931682,Nein,Spiel läuft nicht,Nein,0.505788665918358
53,1,-2.502716401039105,13.305759916151315,Nein,Spiel läuft nicht,Nein,0.2357041081091587
54,0,1.52758355698112,-11.255175370116525,Nein,Spiel läuft nicht,Nein,0.6151603794566312
54,1,-2.497329015644742,13.309268593342871,Nein,Spiel läuft nicht,Nein,0.2494662835046301
55,0,1.5158279818282743,-11.227596086848566,Nein,Spiel läuft nicht,Nein,0.7467199200690917
55,1,-2.4864682077719227,13.300735916452577,Nein,Spiel läuft nicht,Nein,0.2831008225843978
56,1,-2.4748255152864975,13.286623651263277,Nein,Spiel läuft nicht,Nein,0.3292030377465694
56,0,1.503551478398651,-11.191014918101617,Nein,Spiel läuft nicht,Nein,0.8754289240342404
57,1,-2.4648576173533447,13.277661405146414,Nein,Spiel läuft nicht,Nein,0.35964015954400314
57,0,1.489993901785837,-11.150422403563182,Nein,Spiel läuft nicht,Nein,0.9692494284118468
58,0,1.4763661102544856,-11.113806244524794,Nein,Spiel läuft nicht,Nein,0.9978402531285069
58,1,-2.4529559230736897,13.26079208383507,Nein,Spiel läuft nicht,Nein,0.34983445151828346
59,1,-2.4435807718091316,13.257438644649786,Nein,Spiel läuft nicht,Nein,0.3337273314565123
59,0,1.4639020043641187,-11.09574587538463,Nein,Spiel läuft nicht,Nein,0.9457996154177882
60,1,-2.4375259294193965,13.261910477576468,Nein,Spiel läuft nicht,Nein,0.33552822597628223
60,0,1.4521177377099275,-11.086486824200467,Nein,Spiel läuft nicht,Nein,0.8249235874429873
61,0,1.4403940611117485,-11.082920765743864,Nein,Spiel läuft nicht,Nein,0.6680657269162034
61,1,-2.4343410998442767,13.277352877319512,Nein,Spiel läuft nicht,Nein,0.3653594365815323
62,1,-2.4329724121121323,13.303246451134129,Nein,Spiel läuft nicht,Nein,0.4262835796545901
62,0,1.4283776552564746,-11.083308875578172,Nein,Spiel läuft nicht,Nein,0.5184744376730096
63,1,-2.432451222606523,13.337188176607905,Nein,Spiel läuft nicht,Nein,0.5239023890530904
63,0,1.4171106609071624,-11.085757529684518,Nein,Spiel läuft nicht,Nein,0.40797920180882064
64,1,-2.431084612146996,13.363035124306549,Nein,Spiel läuft nicht,Nein,0.6357764272438127
64,0,1.4071384314202817,-11.089583704377747,Nein,Spiel läuft nicht,Nein,0.3401927632250871
65,0,1.3972814882216802,-11.094762753652315,Nein,Spiel läuft nicht,Nein,0.31306535421756787
65,1,-2.429191626731681,13.386824521736365,Nein,Spiel läuft nicht,Nein,0.6895260054584819
66,0,1.3873323906793946,-11.101353910181597,Nein,Spiel läuft nicht,Nein,0.31109541256795353
66,1,-2.4269057892153407,13.408968217429807,Nein,Spiel läuft nicht,Nein,0.7494311964743274
67,1,-2.424330150992337,13.42984640356875,Nein,Spiel läuft nicht,Nein,0.7840763191939817
67,0,1.3793442080466034,-11.10923148388321,Nein,Spiel läuft nicht,Nein,0.3153600269303581
68,0,1.374655050038076,-11.118031486883297,Nein,Spiel läuft nicht,Nein,0.31784283126063867
68,1,-2.42151460898447,13.449836378829477,Nein,Spiel läuft nicht,Nein,0.8135480393140958
69,0,1.372905418037043,-11.129426935956504,Nein,Spiel läuft nicht,Nein,0.32778659150840994
69,1,-2.4185227799180775,13.469186224062229,Nein,Spiel läuft nicht,Nein,0.8330157715381874
70,0,1.3736333964242942,-11.144058397212977,Nein,Spiel läuft nicht,Nein,0.35273672906327364
70,1,-2.4082662353387945,13.559729603331801,Nein,Spiel läuft nicht,Nein,0.8509306029648337
71,1,-2.4083313712235626,13.560946708059758,Nein,Spiel läuft nicht,Nein,0.789909748562137
71,0,1.3735546653795085,-11.160005612011929,Nein,Spiel läuft nicht,Nein,0.39510951673205363
72,1,-2.4082516240822605,13.562440597501768,Nein,Spiel läuft nicht,Nein,0.5135100996817322
72,0,1.3730459129919939,-11.178643754356118,Nein,Spiel läuft nicht,Nein,0.4534194071073873
73,0,1.3721059209154893,-11.199837188561009,Nein,Spiel läuft nicht,Nein,0.5220612323568725
73,1,-2.4081964407395335,13.56394001201667,Nein,Spiel läuft nicht,Nein,0.3222127982954448
74,1,-2.4082716774435085,13.565531866568186,Nein,Spiel läuft nicht,Nein,0.49327453238304114
74,0,1.3711549721736322,-11.223653327214599,Nein,Spiel läuft nicht,Nein,0.5962649383796712
75,0,1.3704676115195094,-11.249043473955663,Nein,Spiel läuft nicht,Nein,0.6700518630015054
75,1,-2.4384950102788974,13.508649714652497,Nein,Spiel läuft nicht,Nein,
76,0,1.3700804849826311,-11.276368499499045,Nein,Spiel läuft nicht,Nein,0.7359751227610576
76,1,-2.4439287452514713,13.440787097352477,Nein,Spiel läuft nicht,Nein,
77,0,1.3691489640979086,-11.305331987749021,Nein,Spiel läuft nicht,Nein,0.788443287535961
77,1,-2.432568946383255,13.012044205117697,Nein,Spiel läuft nicht,Nein,
78,1,-2.4334990681084423,12.58476866604408,Nein,Spiel läuft nicht,Nein,
78,0,1.3669257292198778,-11.335253453235676,Nein,Spiel läuft nicht,Nein,0.8209579700721701
79,1,-2.44952965909294,12.23411594801371,Nein,Spiel läuft nicht,Nein,
79,0,1.3666160728489298,-11.363156564556586,Nein,Spiel läuft nicht,Nein,0.8259557105842704
80,0,1.366100127365101,-11.386940291165192,Nein,Spiel läuft nicht,Nein,0.7979504275622123
80,1,-2.482305642296495,11.721867838274648,Nein,Spiel läuft nicht,Nein,
81,0,1.3652231365457754,-11.407576495223541,Nein,Spiel läuft nicht,Nein,0.7412950675901934
81,1,-2.5261317835787964,11.337124375392008,Nein,Spiel läuft nicht,Nein,
82,0,1.3634712916488867,-11.423943137967498,Nein,Spiel läuft nicht,Nein,0.6643392926552284
82,1,-2.557468533490543,11.084934264224849,Nein,Spiel läuft nicht,Nein,
83,0,1.3587953636957288,-11.437967653348363,Nein,Spiel läuft nicht,Nein,0.5823748033414824
83,1,-2.57791562858843,10.942940830711063,Nein,Spiel läuft nicht,Nein,
84,1,-2.593808460097667,10.843777998856375,Nein,Spiel läuft nicht,Nein,
84,0,1.3513660338863738,-11.450326321742242,Nein,Spiel läuft nicht,Nein,0.5074424925311529
85,1,-2.6077129933849688,10.759635555666524,Nein,Spiel läuft nicht,Nein,
85,0,1.3435335216467692,-11.461759415187846,Nein,Spiel läuft nicht,Nein,0.45297613329894015
86,1,-2.685752152764978,10.54929383878246,Nein,Spiel läuft nicht,Nein,
86,0,1.334472928286151,-11.472188227611278,Nein,Spiel läuft nicht,Nein,0.4283292529672348
87,1,-2.724648471369008,10.409170380597956,Nein,Spiel läuft nicht,Nein,4.203651485266228
87,0,1.323697470488428,-11.482409287176521,Nein,Spiel läuft nicht,Nein,0.4359109687582399
88,1,-2.7509564725895785,10.303820858976986,Nein,Spiel läuft nicht,Nein,4.220800558432828
88,0,1.3100332515315887,-11.49274613879733,Nein,Spiel läuft nicht,Nein,0.47150600145266996
89,1,-2.7732378954211554,10.211336292342217,Nein,Spiel läuft nicht,Nein,4.607718136777853
89,0,1.2903975915863135,-11.505861606513598,Nein,Spiel läuft nicht,Nein,0.5296249034904761
90,1,-2.8754670510950615,9.8754317012935,Nein,Spiel läuft nicht,Nein,5.108427452167004
90,0,1.2691275128599613,-11.519476758453807,Nein,Spiel läuft nicht,Nein,0.6004024208481271
91,1,-2.9235836879604435,9.67515692195147,Nein,Spiel läuft nicht,Nein,5.451594850876471
91,0,1.2466946360414828,-11.534446065774,Nein,Spiel läuft nicht,Nein,0.6759861063318209
92,1,-2.957616500862569,9.537967533827077,Nein,Spiel läuft nicht,Nein,5.482092526487102
92,0,1.2244223849085711,-11.550973907262161,Nein,Spiel läuft nicht,Nein,0.7534295017233051
93,1,-2.9878091216365847,9.425415638602274,Nein,Spiel läuft nicht,Nein,5.234093899836496
93,0,1.2011923032402816,-11.569351402112243,Nein,Spiel läuft nicht,Nein,0.8283508982927142
94,0,1.1750747619884483,-11.589890092955475,Nein,Spiel läuft nicht,Nein,0.8999011636551714
94,1,-3.0171532442848563,9.321620111446329,Nein,Spiel läuft nicht,Nein,4.654392073007227
95,0,1.1453240114042553,-11.612019096706948,Nein,Spiel läuft nicht,Nein,0.9674264578134127
95,1,-3.04616689691299,9.222292927932159,Nein,Spiel läuft nicht,Nein,4.099272423657103
96,0,1.113544809143378,-11.63575011268286,Nein,Spiel läuft nicht,Nein,1.0327422226219019
96,1,-3.0752978804922955,9.124149833204227,Nein,Spiel läuft nicht,Nein,3.4415500633207055
97,0,1.081929781828871,-11.658397265215028,Nein,Spiel läuft nicht,Nein,1.0948144338309624
97,1,-3.088424306377205,9.02645695192113,Nein,Spiel läuft nicht,Nein,2.334283735727396
98,0,1.049220365817213,-11.679196786470115,Nein,Spiel läuft nicht,Nein,1.153525303698979
98,1,-3.088321567494577,9.02316492684065,Nein,Spiel läuft nicht,Nein,1.7494830857682806
99,1,-3.0881323192075816,9.020446056320615,Nein,Spiel läuft nicht,Nein,1.8017756455359109
99,0,1.0118735754354216,-11.699192764864517,Nein,Spiel läuft nicht,Nein,1.2096448501631039
100,1,-3.088104286601619,9.017526471053024,Nein,Spiel läuft nicht,Nein,2.2022256128909716
100,0,0.9699657669464141,-11.718663340430016,Nein,Spiel läuft nicht,Nein,1.2640294347665475
101,0,0.9267179861887429,-11.736879237347496,Nein,Spiel läuft nicht,Nein,1.3090777711943453
101,1,-3.0880589633842392,9.014459103097098,Nein,Spiel läuft nicht,Nein,2.945017268965421
102,0,0.8836245476309305,-11.753428087395097,Nein,Spiel läuft nicht,Nein,1.3350127190184722
102,1,-3.7608872729212175,8.617100158256827,Nein,Spiel läuft nicht,Nein,4.389632570339259
103,1,-3.827712121188045,8.5305489588348,Nein,Spiel läuft nicht,Nein,5.452871267084583
103,0,0.840517757320312,-11.768709763459125,Nein,Spiel läuft nicht,Nein,1.335414478299994
104,0,0.8008555165401848,-11.781099256055349,Nein,Spiel läuft nicht,Nein,1.310119099119908
104,1,-3.8859186698100534,8.438869069244873,Nein,Spiel läuft nicht,Nein,6.014670347880074
105,1,-3.9422066205475716,8.344196030149504,Nein,Spiel läuft nicht,Nein,6.00630947835812
105,0,0.7658037636246986,-11.790116326628466,Nein,Spiel läuft nicht,Nein,1.265106260046151
106,0,0.7315762051303468,-11.797487250531239,Nein,Spiel läuft nicht,Nein,1.2112751241514061
106,1,-3.998010614444769,8.247899132600306,Nein,Spiel läuft nicht,Nein,5.188948405963399
107,1,-4.053950076862353,8.15021367513506,Nein,Spiel läuft nicht,Nein,4.4576277062642555
107,0,0.6957572417478338,-11.804549938710586,Nein,Spiel läuft nicht,Nein,1.163798530303709
108,1,-4.109726881941887,8.0524216369123,Nein,Spiel läuft nicht,Nein,3.3415033130213554
108,0,0.6570619842013654,-11.81151892917664,Nein,Spiel läuft nicht,Nein,1.136224941074113
109,1,-4.123026986071184,7.926376577758672,Nein,Spiel läuft nicht,Nein,2.5534557092148336
109,0,0.6179163331399461,-11.817607314303,Nein,Spiel läuft nicht,Nein,1.1297423606018828
110,0,0.5793699783682751,-11.822466771403032,Nein,Spiel läuft nicht,Nein,1.1358326874889544
110,1,-4.122902989922118,7.924875915150382,Nein,Spiel läuft nicht,Nein,2.215213171191605
111,1,-4.1228139113970945,7.92328238131191,Nein,Spiel läuft nicht,Nein,2.582216422399461
111,0,0.5407050627390183,-11.825188855498428,Nein,Spiel läuft nicht,Nein,1.1495043406212775
112,0,0.5020399509265777,-11.824143635771375,Nein,Spiel läuft nicht,Nein,1.1676032932992904
112,1,-4.122979241040454,7.921307949206691,Nein,Spiel läuft nicht,Nein,2.816450426999017
113,0,0.46167103373994295,-11.820055080734413,Nein,Spiel läuft nicht,Nein,1.1893788684893853
113,1,-4.614572654877552,7.668880023876199,Nein,Spiel läuft nicht,Nein,3.533717596614937
114,1,-4.710849467452474,7.670238734807139,Nein,Spiel läuft nicht,Nein,4.162720585035172
114,0,0.42023113968643827,-11.811903333388113,Nein,Spiel läuft nicht,Nein,1.213514221493519
115,1,-4.810990973321336,7.670363129249976,Nein,Spiel läuft nicht,Nein,4.525492789926837
115,0,0.37748474449591923,-11.800897840573064,Nein,Spiel läuft nicht,Nein,1.236239551147345
116,1,-4.897880572598819,7.669946079614927,Nein,Spiel läuft nicht,Nein,4.465721394748335
116,0,0.3357104310435335,-11.786213205291869,Nein,Spiel läuft nicht,Nein,1.25744259061791
117,1,-4.978732860675697,7.669310533610218,Nein,Spiel läuft nicht,Nein,3.8278046450634036
117,0,0.294613474172716,-11.771766391757915,Nein,Spiel läuft nicht,Nein,1.273352982120877
118,1,-5.074840951578372,7.6656764693286235,Nein,Spiel läuft nicht,Nein,3.222710794331594
118,0,0.255999668411724,-11.756639909903095,Nein,Spiel läuft nicht,Nein,1.2845541301143795
119,0,0.21928552359993092,-11.741467893459765,Nein,Spiel läuft nicht,Nein,1.2908402022775487
119,1,-5.112716878592696,7.688398354331601,Nein,Spiel läuft nicht,Nein,2.451119708444593
120,0,0.17778469655040835,-11.725142972795009,Nein,Spiel läuft nicht,Nein,1.2977392788506534
120,1,-5.136199747183382,7.704559780795796,Nein,Spiel läuft nicht,Nein,1.7509513783023785
121,0,0.13586228177631182,-11.708531164961723,Nein,Spiel läuft nicht,Nein,1.3040006936885418
121,1,-5.159961954677553,7.717088013181248,Nein,Spiel läuft nicht,Nein,1.2856585413585109
122,1,-5.199988036140105,7.727066968989572,Nein,Spiel läuft nicht,Nein,1.2637361057894887
122,0,0.09140129205113105,-11.693753708895223,Nein,Spiel läuft nicht,Nein,1.3040974355657995
123,0,0.0509847662363834,-11.68245083511314,Nein,Spiel läuft nicht,Nein,1.2899404104487433
123,1,-5.230606211095661,7.740242352267347,Nein,Spiel läuft nicht,Nein,1.1339833502134127
124,0,0.01352515127531756,-11.67375980647419,Nein,Spiel läuft nicht,Nein,1.256229463661406
124,1,-5.29187233925567,7.739409563678946,Nein,Spiel läuft nicht,Nein,1.1035134696000466
125,1,-5.315973662912211,7.742564250552514,Nein,Spiel läuft nicht,Nein,1.0951258010032592
125,0,-0.021677614060812284,-11.666503419124382,Nein,Spiel läuft nicht,Nein,1.1982323615991701
126,1,-5.355227123169989,7.743889187488557,Nein,Spiel läuft nicht,Nein,1.1078406638292682
126,0,-0.05288193106650599,-11.660721039937535,Nein,Spiel läuft nicht,Nein,1.1359014561646095
127,0,-0.0869571982218155,-11.655085461868545,Nein,Spiel läuft nicht,Nein,1.085531496661313
127,1,-5.388871166330523,7.745512965688052,Nein,Spiel läuft nicht,Nein,1.113670385337243
128,1,-5.421098975749217,7.745989635009222,Nein,Spiel läuft nicht,Nein,1.0692592074897895
128,0,-0.11957499753231149,-11.650856344454915,Nein,Spiel läuft nicht,Nein,1.048347301020325
129,0,-0.1495760244487202,-11.64503743469982,Nein,Spiel läuft nicht,Nein,1.0269801547411084
129,1,-5.456679421494325,7.74322732934672,Nein,Spiel läuft nicht,Nein,1.0353092773543175
130,0,-0.19316473470733803,-11.638434074164877,Nein,Spiel läuft nicht,Nein,1.0235194798362557
130,1,-5.489292958222966,7.740707200158775,Nein,Spiel läuft nicht,Nein,1.0066764422717254
131,1,-5.514886338466575,7.736320634768851,Nein,Spiel läuft nicht,Nein,1.0087607684749607
131,0,-0.22433297588807102,-11.62896022508458,Nein,Spiel läuft nicht,Nein,1.013719589055123
132,0,-0.25062543896220313,-11.619249129629528,Nein,Spiel läuft nicht,Nein,0.9881136613835582
132,1,-5.557730879421313,7.730731780764561,Nein,Spiel läuft nicht,Nein,1.0463342625836705
133,0,-0.2764011014730258,-11.610897023750184,Nein,Spiel läuft nicht,Nein,0.9441788321555769
133,1,-5.601592806143361,7.723976437596958,Nein,Spiel läuft nicht,Nein,1.121198153501321
134,0,-0.3005185742750906,-11.602934777612042,Nein,Spiel läuft nicht,Nein,0.8773165237703572
134,1,-5.645496279014652,7.713802906922278,Nein,Spiel läuft nicht,Nein,1.1862919539784622
135,1,-5.689454202552081,7.69953028564632,Nein,Spiel läuft nicht,Nein,1.3006939022067754
135,0,-0.32333364806465004,-11.595813274413967,Nein,Spiel läuft nicht,Nein,0.8057354827797955
136,1,-5.733275499199798,7.681119099717713,Nein,Spiel läuft nicht,Nein,1.3929857978395457
136,0,-0.3433449750146735,-11.589281263025214,Nein,Spiel läuft nicht,Nein,0.7310173384155048
137,1,-5.776830898561693,7.658749491337407,Nein,Spiel läuft nicht,Nein,1.4579985204684136
137,0,-0.3602400959480271,-11.583366130019641,Nein,Spiel läuft nicht,Nein,0.650657164072923
138,0,-0.3739880020188853,-11.578022523670331,Nein,Spiel läuft nicht,Nein,0.5683343913489273
138,1,-5.820481972207565,7.6328937368000425,Nein,Spiel läuft nicht,Nein,1.4371694812142524
139,1,-5.83753567033415,7.545055609388083,Nein,Spiel läuft nicht,Nein,1.2427320078887136
