Frame,Object.ID,Transformed.X,Transformed.Y,Spiel läuft,Game,Spieler schlägt,Speed
0,0,1.6403386846312775,-12.056090670181614,Nein,Spiel läuft nicht,Nein,
1,0,1.6408433288975133,-12.053270493206533,Nein,Spiel läuft nicht,Nein,0.08594915709651917
2,0,1.6405311128873474,-12.051376264603249,Nein,Spiel läuft nicht,Nein,0.057593599945241734
3,0,1.638165249994318,-12.051634014297967,Nein,Spiel läuft nicht,Nein,0.0713958536636885
4,0,1.6324753103894114,-12.053029530351187,Nein,Spiel läuft nicht,Nein,0.17575719042489263
5,0,1.6262981431525376,-12.055572428887542,Nein,Spiel läuft nicht,Nein,0.20040298210019622
6,0,1.6212414136098738,-12.058624030910206,Nein,Spiel läuft nicht,Nein,0.17718495905447884
7,0,1.6166307426127728,-12.061408308965374,Nein,Spiel läuft nicht,Nein,0.1615841644431789
8,0,1.612709312622973,-12.063395189465474,Nein,Spiel läuft nicht,Nein,0.131881676353924
9,0,1.6094691721965235,-12.065232002162636,Nein,Spiel läuft nicht,Nein,0.11173697588896393
10,0,1.6043439078054933,-12.066762194974665,Nein,Spiel läuft nicht,Nein,0.16046445901803666
11,0,1.6007189049947883,-12.06761662318094,Nein,Spiel läuft nicht,Nein,0.1117301375796584
12,0,1.5976133394297354,-12.067820121341104,Nein,Spiel läuft nicht,Nein,0.09336677183039449
13,0,1.5952138667224003,-12.06731923620612,Nein,Spiel läuft nicht,Nein,0.07353583937457621
14,0,1.593403127448847,-12.065738773365371,Nein,Spiel läuft nicht,Nein,0.07210392192523526
15,0,1.5917630640629978,-12.06348556704269,Nein,Spiel läuft nicht,Nein,0.08360665032134769
16,0,1.5869835323363972,-12.060541805456934,Nein,Spiel läuft nicht,Nein,0.16840038663679216
17,0,1.5810422444026837,-12.056870946697954,Nein,Spiel läuft nicht,Nein,0.2095153829810663
18,0,1.5747972345009633,-12.052807049170603,Nein,Spiel läuft nicht,Nein,0.2235259953715736
19,0,1.5670635012431402,-12.048981890306422,Nein,Spiel läuft nicht,Nein,0.25884015027705026
20,0,1.557511190041351,-12.046031332474872,Nein,Spiel läuft nicht,Nein,0.2999286527356707
21,0,1.5483491954772068,-12.043700793494764,Nein,Spiel läuft nicht,Nein,0.28361276540044145
22,0,1.5399288977289842,-12.040283663319823,Nein,Spiel läuft nicht,Nein,0.27261763244716597
23,0,1.5337039011645366,-12.03560576355753,Nein,Spiel läuft nicht,Nein,0.23360221653934513
24,0,1.5292519281207138,-12.029238097401663,Nein,Spiel läuft nicht,Nein,0.23308906587387032
25,0,1.52674592015953,-12.02136235316824,Nein,Spiel läuft nicht,Nein,0.24794491488764214
26,0,1.525758367016939,-12.010979430600917,Nein,Spiel läuft nicht,Nein,0.31289344515921197
27,0,1.5254139796553483,-11.99598879527429,Nein,Spiel läuft nicht,Nein,0.449837720890199
28,0,1.5254628659370395,-11.978390364654807,Nein,Spiel läuft nicht,Nein,0.527954955581967
29,0,1.5267829327573783,-11.958884470110313,Nein,Spiel läuft nicht,Nein,0.5865153438333707
30,0,1.5290067418541577,-11.938480920193648,Nein,Spiel läuft nicht,Nein,0.6157314012543822
31,0,1.5322372498554189,-11.917182064514485,Nein,Spiel läuft nicht,Nein,0.6462736971819445
32,0,1.5361439852326575,-11.89619852943899,Nein,Spiel läuft nicht,Nein,0.6403235065301303
33,0,1.5413535030111358,-11.87362562675103,Nein,Spiel läuft nicht,Nein,0.6949874172385873
34,0,1.5455485730914675,-11.84841873248264,Nein,Spiel läuft nicht,Nein,0.7666077996426929
35,0,1.5490091179889571,-11.820300467604653,Nein,Spiel läuft nicht,Nein,0.8499123317510872
36,0,1.552254629071233,-11.791244344269387,Nein,Spiel läuft nicht,Nein,0.8771046008962888
37,0,1.5538724882056858,-11.75494952093089,Nein,Spiel läuft nicht,Nein,1.089925916022056
38,0,1.5581988744826523,-11.712449329519355,Nein,Spiel läuft nicht,Nein,1.2815949045666144
39,0,1.5644146567947557,-11.664361543382011,Nein,Spiel läuft nicht,Nein,1.4546353538973884
40,0,1.5715657793834414,-11.61307769015458,Nein,Spiel läuft nicht,Nein,1.5534010881025027
41,0,1.5784950825132782,-11.562831420428619,Nein,Spiel läuft nicht,Nein,1.5216545524248277
42,0,1.5819227235260584,-11.513114670467822,Nein,Spiel läuft nicht,Nein,1.4950429942377113
43,0,1.5825710673215936,-11.459414156897548,Nein,Spiel läuft nicht,Nein,1.6111328178177935
44,0,1.581759457686264,-11.420165706170044,Nein,Spiel läuft nicht,Nein,1.1777052412376017
45,0,1.5808773359119137,-11.39550104270608,Nein,Spiel läuft nicht,Nein,0.740412983647542
46,0,1.5796596599246588,-11.375956171123244,Nein,Spiel läuft nicht,Nein,0.5874829920938439
47,0,1.577563368498403,-11.361418172314757,Nein,Spiel läuft nicht,Nein,0.4406507260738761
48,0,1.5740814932766143,-11.34793875711386,Nein,Spiel läuft nicht,Nein,0.41765569587452045
49,0,1.5689578748680935,-11.335831924675528,Nein,Spiel läuft nicht,Nein,0.39439088675753864
50,0,1.5628797347917753,-11.32364500394501,Nein,Spiel läuft nicht,Nein,0.4085564114187093
51,0,1.5555632729139797,-11.310773909882835,Nein,Spiel läuft nicht,Nein,0.444157752482094
52,0,1.547161834557115,-11.297831577993938,Nein,Spiel läuft nicht,Nein,0.4629031314086274
53,0,1.5376715312053864,-11.279359233931682,Nein,Spiel läuft nicht,Nein,0.6230281033596712
54,0,1.52758355698112,-11.255175370116525,Nein,Spiel läuft nicht,Nein,0.786106763538879
55,0,1.5158279818282743,-11.227596086848566,Nein,Spiel läuft nicht,Nein,0.8994050097001364
56,0,1.503551478398651,-11.191014918101617,Nein,Spiel läuft nicht,Nein,1.1575858495227334
57,0,1.489993901785837,-11.150422403563182,Nein,Spiel läuft nicht,Nein,1.2839019075259803
58,0,1.4763661102544856,-11.113806244524794,Nein,Spiel läuft nicht,Nein,1.172098043796619
59,0,1.4639020043641187,-11.09574587538463,Nein,Spiel läuft nicht,Nein,0.6583143490861642
60,0,1.4521177377099275,-11.086486824200467,Nein,Spiel läuft nicht,Nein,0.44959879055356267
61,0,1.4403940611117485,-11.082920765743864,Nein,Spiel läuft nicht,Nein,0.3676210403460814
62,0,1.4283776552564746,-11.083308875578172,Nein,Spiel läuft nicht,Nein,0.36068015613550436
63,0,1.4171106609071624,-11.085757529684518,Nein,Spiel läuft nicht,Nein,0.34590021934072224
64,0,1.4071384314202817,-11.089583704377747,Nein,Spiel läuft nicht,Nein,0.3204317030974093
65,0,1.3972814882216802,-11.094762753652315,Nein,Spiel läuft nicht,Nein,0.3340414533377237
66,0,1.3873323906793946,-11.101353910181597,Nein,Spiel läuft nicht,Nein,0.35802946480627973
67,0,1.3793442080466034,-11.10923148388321,Nein,Spiel läuft nicht,Nein,0.3365716956002911
68,0,1.374655050038076,-11.118031486883297,Nein,Spiel läuft nicht,Nein,0.29914115408518716
69,0,1.372905418037043,-11.129426935956504,Nein,Spiel läuft nicht,Nein,0.3458695195405208
70,0,1.3736333964242942,-11.144058397212977,Nein,Spiel läuft nicht,Nein,0.4394868029062626
71,0,1.3735546653795085,-11.160005612011929,Nein,Spiel läuft nicht,Nein,0.4784222743343061
72,0,1.3730459129919939,-11.178643754356118,Nein,Spiel läuft nicht,Nein,0.5593525374311347
73,0,1.3721059209154893,-11.199837188561009,Nein,Spiel läuft nicht,Nein,0.6364280907147638
74,0,1.3711549721736322,-11.223653327214599,Nein,Spiel läuft nicht,Nein,0.7150534857540358
75,0,1.3704676115195094,-11.249043473955663,Nein,Spiel läuft nicht,Nein,0.7619834739555829
76,0,1.3700804849826311,-11.276368499499045,Nein,Spiel läuft nicht,Nein,0.819833031239792
77,0,1.3691489640979086,-11.305331987749021,Nein,Spiel läuft nicht,Nein,0.8693539236057326
78,0,1.3669257292198778,-11.335253453235676,Nein,Spiel läuft nicht,Nein,0.9001184273043176
79,0,1.3666160728489298,-11.363156564556586,Nein,Spiel läuft nicht,Nein,0.8371448844791748
80,0,1.366100127365101,-11.386940291165192,Nein,Spiel läuft nicht,Nein,0.7136796662520793
81,0,1.3652231365457754,-11.407576495223541,Nein,Spiel läuft nicht,Nein,0.6196449207017547
82,0,1.3634712916488867,-11.423943137967498,Nein,Spiel läuft nicht,Nein,0.49380396892489214
83,0,1.3587953636957288,-11.437967653348363,Nein,Spiel läuft nicht,Nein,0.4435044537567787
84,0,1.3513660338863738,-11.450326321742242,Nein,Spiel läuft nicht,Nein,0.4325950338335461
85,0,1.3435335216467692,-11.461759415187846,Nein,Spiel läuft nicht,Nein,0.41576133339635074
86,0,1.334472928286151,-11.472188227611278,Nein,Spiel läuft nicht,Nein,0.41445027753478497
87,0,1.323697470488428,-11.482409287176521,Nein,Spiel läuft nicht,Nein,0.4455586318859507
88,0,1.3100332515315887,-11.49274613879733,Nein,Spiel läuft nicht,Nein,0.5140089911839529
89,0,1.2903975915863135,-11.505861606513598,Nein,Spiel läuft nicht,Nein,0.7083905500588394
