Frame,Object ID, Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z
0,0,1.0469906330108645,0.758663535118103,5.153569221496582,0.9872700572013856,0.0130412280559539,0.0017066807486116
1,0,1.0474997758865356,0.7583035230636597,5.1604533195495605,0.070046879351139,-0.0606004633009433,0.4708199799060821
2,0,1.047315239906311,0.7580640316009521,5.162964344024658,-0.0254835747182369,-0.0299411602318286,0.2263478934764862
3,0,1.0454374551773071,0.7580540776252747,5.1617841720581055,-0.0999287292361259,-0.0001527376880403,-0.0090857166796922
4,0,1.0409010648727417,0.7581200003623962,5.158684253692627,0.0025839791633188,-0.021369868889451,0.1634774059057235
5,0,1.0359231233596802,0.7583408355712891,5.150853633880615,0.0033326621633023,-0.0275585670024156,0.2108432501554489
5,1,-1.4166370630264282,-2.208487033843994,24.38180351257324,-5.392879742771584e-08,5.420275101641892e-06,4.878314143752505e-07
6,0,1.0318050384521484,0.7586543560028076,5.141336917877197,0.0034915171563625,-0.0288586616516113,0.2208951115608215
6,1,-1.4101942777633667,-2.2310023307800293,24.73100471496582,9.49341869354248,0.1247162148356437,0.0163202546536922
7,0,1.0280581712722778,0.7589312195777893,5.133916854858398,0.0032765609212219,-0.0270273014903068,0.2073032259941101
8,0,1.0248948335647583,0.7591070532798767,5.129847049713135,0.0027964657638221,-0.0230625234544277,0.1769288778305053
9,0,1.0222718715667725,0.7592796683311462,5.125773906707764,0.0026750499382615,-0.022059017792344,0.1692477613687515
9,1,-1.4062191247940063,-2.2728216648101807,25.01754570007324,0.1254933178424835,-0.5119326710700989,3.934136390686035
10,0,1.0181814432144165,0.7593673467636108,5.12334680557251,0.0025761404540389,-0.0212259404361248,0.1629923731088638
11,0,1.0152969360351562,0.759399950504303,5.12211799621582,0.0022083451040089,-0.0182085782289505,0.1397187858819961
11,1,-1.4037657976150513,-2.2613649368286133,24.71860694885254,0.0890587493777275,-0.0042930929921567,0.0420535206794738
12,0,1.0128414630889893,0.7593644857406616,5.121539115905762,0.0019657390657812,-0.0162063762545585,0.1243697702884674
12,1,-1.4089027643203735,-2.262593507766724,24.790882110595703,0.1031337901949882,-0.1590743511915207,1.2293243408203125
13,0,1.0109620094299316,0.7592602372169495,5.121395587921143,0.0017144933808594,-0.0141330733895301,0.1084739938378334
13,1,-1.4205390214920044,-2.264806032180786,24.837329864501957,-0.1390112787485122,-0.1577898412942886,1.1948410272598269
14,0,1.0095744132995603,0.7590430974960327,5.121577262878418,0.0014538480900228,-0.011981388553977,0.0919837057590484
14,1,-1.4445791244506836,-2.267230987548828,24.86736297607422,-0.2478349804878235,-0.1511887460947036,1.1334388256072998
15,0,1.0083383321762085,0.7587521076202393,5.121898174285889,0.0013209894532337,-0.0108828255906701,0.0835784971714019
15,1,-1.4694558382034302,-2.2688276767730717,24.87552070617676,-0.2984782755374908,-0.1334917694330215,0.9926790595054626
