Frame,Object.ID,Transformed.X,Transformed.Y,Spiel läuft,Game,Speed,Spieler schlägt
0,0,1.6403386846312775,-12.056090670181607,Nein,Spiel läuft nicht,,Nein
0,1,,,Nein,Spiel läuft nicht,,Nein
1,0,1.640843328897513,-12.053270493206526,Nein,Spiel läuft nicht,,Nein
1,1,,,Nein,Spiel läuft nicht,,Nein
2,0,1.6405311128873474,-12.051376264603242,Nein,Spiel läuft nicht,,Nein
2,1,,,Nein,Spiel läuft nicht,,Nein
3,0,1.638165249994318,-12.05163401429796,Nein,Spiel läuft nicht,,Nein
3,1,,,Nein,Spiel läuft nicht,,Nein
4,1,,,Nein,Spiel läuft nicht,,Nein
4,0,1.6324753103894114,-12.053029530351179,Nein,Spiel läuft nicht,,Nein
5,0,1.6262981431525376,-12.055572428887535,Nein,Spiel läuft nicht,0.12880527913958142,Nein
5,1,-2.3794834448987725,12.153031820414535,Nein,Spiel läuft nicht,,Nein
6,0,1.6212414136098736,-12.058624030910199,Nein,Spiel läuft nicht,0.1502478357502992,Nein
6,1,-2.379490602363978,12.329034687742443,Nein,Spiel läuft nicht,,Nein
7,1,,,Nein,Spiel läuft nicht,,Nein
7,0,1.6166307426127728,-12.061408308965367,Nein,Spiel läuft nicht,0.16050493199651633,Nein
8,0,1.612709312622973,-12.063395189465467,Nein,Spiel läuft nicht,0.15763290658728307,Nein
8,1,,,Nein,Spiel läuft nicht,,Nein
9,0,1.6094691721965235,-12.06523200216263,Nein,Spiel läuft nicht,0.14643542941074641,Nein
9,1,-2.387391645917592,12.677928992866942,Nein,Spiel läuft nicht,,Nein
10,1,,,Nein,Spiel läuft nicht,,Nein
10,0,1.6043439078054933,-12.066762194974658,Nein,Spiel läuft nicht,0.13485836982591431,Nein
11,0,1.6007189049947883,-12.067616623180934,Nein,Spiel läuft nicht,0.12179307633500595,Nein
11,1,-2.3794159434070883,12.597628316149255,Nein,Spiel läuft nicht,,Nein
12,0,1.5976133394297354,-12.067820121341096,Nein,Spiel läuft nicht,0.1098988882535533,Nein
12,1,-2.3866680425365048,12.60249989762335,Nein,Spiel läuft nicht,,Nein
13,0,1.5952138667224005,-12.067319236206114,Nein,Spiel läuft nicht,0.09765578874125735,Nein
13,1,-2.4022304064273494,12.616236772866342,Nein,Spiel läuft nicht,,Nein
14,0,1.593403127448847,-12.065738773365364,Nein,Spiel läuft nicht,0.09355555965838747,Nein
14,1,-2.43340748261761,12.630124016621984,Nein,Spiel läuft nicht,,Nein
15,1,-2.4652863174832786,12.637995024072172,Nein,Spiel läuft nicht,,Nein
15,0,1.5917630640629978,-12.063485567042683,Nein,Spiel läuft nicht,0.0997111175399281,Nein
16,1,-2.494657981579868,12.658138562402252,Nein,Spiel läuft nicht,0.843326051164317,Nein
16,0,1.5869835323363972,-12.060541805456925,Nein,Spiel läuft nicht,0.12151047759091463,Nein
17,0,1.5810422444026837,-12.056870946697945,Nein,Spiel läuft nicht,0.1524671299126521,Nein
17,1,-2.51966024336753,12.659443573557784,Nein,Spiel läuft nicht,0.8687928841703225,Nein
18,0,1.574797234500963,-12.052807049170596,Nein,Spiel läuft nicht,0.18972033093005403,Nein
18,1,-2.538761263108815,12.669144410789475,Nein,Spiel läuft nicht,0.957481506725572,Nein
19,1,-2.5529109766719342,12.70655975060189,Nein,Spiel läuft nicht,1.033134043376399,Nein
19,0,1.5670635012431404,-12.048981890306415,Nein,Spiel läuft nicht,0.22434055731510746,Nein
20,1,-2.566742439813962,12.781265888951044,Nein,Spiel läuft nicht,1.1458664700564771,Nein
20,0,1.557511190041351,-12.046031332474865,Nein,Spiel läuft nicht,0.25090425217666223,Nein
21,0,1.5483491954772066,-12.043700793494757,Nein,Spiel läuft nicht,0.2627908319446672,Nein
21,1,-2.572473951740168,12.804311996042566,Nein,Spiel läuft nicht,1.2577323727174403,Nein
22,1,-2.578938065563955,12.85171076960441,Nein,Spiel läuft nicht,1.4691360927858745,Nein
22,0,1.5399288977289844,-12.040283663319816,Nein,Spiel läuft nicht,0.2646396820052277,Nein
23,1,-2.584358427944821,12.915855977887713,Nein,Spiel läuft nicht,1.5674241970854417,Nein
23,0,1.5337039011645364,-12.035605763557523,Nein,Spiel läuft nicht,0.2589462035194181,Nein
24,0,1.5292519281207138,-12.029238097401656,Nein,Spiel läuft nicht,0.2547553542558055,Nein
24,1,-2.587860899296155,12.985110017342407,Nein,Spiel läuft nicht,1.6217485783113208,Nein
25,1,-2.5896583300409683,13.031138874904993,Nein,Spiel läuft nicht,1.6304517090255466,Nein
25,0,1.52674592015953,-12.021362353168232,Nein,Spiel läuft nicht,0.26470617740732577,Nein
26,0,1.525758367016939,-12.01097943060091,Nein,Spiel läuft nicht,0.29870847866638023,Nein
26,1,-2.5899889212510923,13.082231290146817,Nein,Spiel läuft nicht,1.67351052375711,Nein
