Frame,Object.ID,Transformed.X,Transformed.Y,Spiel läuft,Game,Speed,Spieler schlägt
0,0,1.6384862576496064,-12.101686580875601,Nein,Spiel läuft nicht,,Nein
0,1,,,Nein,Spiel läuft nicht,,Nein
1,0,1.638979206968156,-12.098859884465114,Nein,Spiel läuft nicht,,Nein
1,1,,,Nein,Spiel läuft nicht,,Nein
2,0,1.6386635212851701,-12.096949034455456,Nein,Spiel läuft nicht,,Nein
2,1,,,Nein,Spiel läuft nicht,,Nein
3,0,1.6363055405799458,-12.09715567788787,Nein,Spiel läuft nicht,,Nein
3,1,,,Nein,Spiel läuft nicht,,Nein
4,1,,,Nein,Spiel läuft nicht,,Nein
4,0,1.6306353474982562,-12.098431314940662,Nein,Spiel läuft nicht,,Nein
5,0,1.6244858655640801,-12.100852863952477,Nein,Spiel läuft nicht,0.1278422507788196,Nein
5,1,-2.4093564244972607,12.30561492184683,Nein,Spiel läuft nicht,,Nein
6,0,1.6194562972099567,-12.103812142377663,Nein,Spiel läuft nicht,0.14877678760699892,Nein
6,1,-2.4099088052725306,12.482642166938565,Nein,Spiel läuft nicht,,Nein
7,1,,,Nein,Spiel läuft nicht,,Nein
7,0,1.614868804923249,-12.106510789478826,Nein,Spiel läuft nicht,0.1587544289961042,Nein
8,0,1.6109640327542436,-12.108420899873806,Nein,Spiel läuft nicht,0.15586594478356186,Nein
8,1,,,Nein,Spiel läuft nicht,,Nein
9,0,1.607738668828182,-12.110195790469838,Nein,Spiel läuft nicht,0.1448138266331135,Nein
9,1,-2.418357520561222,12.833274626959447,Nein,Spiel läuft nicht,,Nein
10,1,,,Nein,Spiel läuft nicht,,Nein
10,0,1.6026308919075172,-12.111618538881807,Nein,Spiel läuft nicht,0.13347371124056645,Nein
11,0,1.5990175066293624,-12.11239560629289,Nein,Spiel läuft nicht,0.12070261244502634,Nein
11,1,-2.409977766110841,12.752164793980857,Nein,Spiel läuft nicht,,Nein
12,0,1.5959209824568605,-12.112530419884884,Nein,Spiel läuft nicht,0.10917347799060098,Nein
12,1,-2.4173049009688183,12.757300959676694,Nein,Spiel läuft nicht,,Nein
13,0,1.5935277220923443,-12.111973798729087,Nein,Spiel läuft nicht,0.09737155962781115,Nein
13,1,-2.4328930188609768,12.771491169237297,Nein,Spiel läuft nicht,,Nein
14,0,1.5917205924947138,-12.110346707988327,Nein,Spiel läuft nicht,0.09376237415653113,Nein
14,1,-2.464034030139381,12.786165561351176,Nein,Spiel läuft nicht,,Nein
15,1,-2.4958437601287895,12.794793015560632,Nein,Spiel läuft nicht,,Nein
15,0,1.5900831144035643,-12.108048196237483,Nein,Spiel läuft nicht,0.100430228154296,Nein
16,1,-2.5251945944715093,12.815711194408578,Nein,Spiel läuft nicht,0.8504948405216948,Nein
16,0,1.5853127585354552,-12.104984687621787,Nein,Spiel läuft nicht,0.12271199585258333,Nein
17,0,1.5793823774534814,-12.101164482108196,Nein,Spiel läuft nicht,0.15405923429878654,Nein
17,1,-2.5501085778515447,12.81756370465519,Nein,Spiel läuft nicht,0.8761894023105935,Nein
18,0,1.573148705878273,-12.096942876404192,Nein,Spiel läuft nicht,0.19155842573656498,Nein
18,1,-2.5691721997604007,12.827736294801465,Nein,Spiel läuft nicht,0.966668784453483,Nein
19,1,-2.583392693541055,12.865681455163585,Nein,Spiel läuft nicht,1.043458120757709,Nein
19,0,1.5654303963804528,-12.092927275424461,Nein,Spiel läuft nicht,0.22624258218050952,Nein
20,1,-2.5973784837019034,12.941097107260688,Nein,Spiel läuft nicht,1.1577501885010584,Nein
20,0,1.5559001482022368,-12.089749536693631,Nein,Spiel läuft nicht,0.25275884046895647,Nein
21,0,1.5467606758397516,-12.087203834815021,Nein,Spiel läuft nicht,0.26461487512756504,Nein
21,1,-2.603084565570081,12.964331619913672,Nein,Spiel läuft nicht,1.270520379905481,Nein
22,1,-2.6096395077808783,13.01211629733093,Nein,Spiel läuft nicht,1.482534635219733,Nein
22,0,1.538359391472949,-12.083583618703344,Nein,Spiel läuft nicht,0.2665664867976663,Nein
23,1,-2.6151888565858696,13.076706185226275,Nein,Spiel läuft nicht,1.5796893307334416,Nein
23,0,1.5321456582442115,-12.078746615457831,Nein,Spiel läuft nicht,0.26108246481376246,Nein
24,0,1.527696458595212,-12.072251322202018,Nein,Spiel läuft nicht,0.25714760578021567,Nein
24,1,-2.618815576070182,13.146367832545678,Nein,Spiel läuft nicht,1.6329479306945522,Nein
25,1,-2.6206644261592205,13.192625735929283,Nein,Spiel läuft nicht,1.6405912769007833,Nein
25,0,1.5251845265381407,-12.06428409805752,Nein,Spiel läuft nicht,0.2673184469358556,Nein
26,0,1.5241786920142917,-12.05382882892403,Nein,Spiel läuft nicht,0.3014329315633044,Nein
26,1,-2.621098268330852,13.243973204345785,Nein,Spiel läuft nicht,1.6832623770142594,Nein
27,0,1.523800114973278,-12.038753602299256,Nein,Spiel läuft nicht,0.35764575199257376,Nein
27,1,-2.622824287778517,13.29890531190749,Nein,Spiel läuft nicht,1.6307784222573827,Nein
28,0,1.5238115566911994,-12.02106966008515,Nein,Spiel läuft nicht,0.42651135198688084,Nein
28,1,-2.625800035338154,13.350651508343795,Nein,Spiel läuft nicht,1.5339263673822485,Nein
29,1,-2.6299956421378807,13.400192721395939,Nein,Spiel läuft nicht,1.4092901498763943,Nein
29,0,1.5250914583426507,-12.001501841874948,Nein,Spiel läuft nicht,0.4975709320605436,Nein
30,0,1.5272767290440135,-11.981057771630432,Nein,Spiel läuft nicht,0.5569674385863659,Nein
30,1,-2.630756745074728,13.431087286430225,Nein,Spiel läuft nicht,1.252343848253771,Nein
31,1,-2.630836490314978,13.455583975477964,Nein,Spiel läuft nicht,1.063183299138575,Nein
31,0,1.530467205738196,-11.959739513707637,Nein,Spiel läuft nicht,0.6024804850978399,Nein
32,0,1.5343373861111873,-11.938757601853439,Nein,Spiel läuft nicht,0.6378179347268969,Nein
32,1,-2.630137621469776,13.474309579689285,Nein,Spiel läuft nicht,0.8479146852063331,Nein
33,0,1.5395030814183845,-11.916207471049615,Nein,Spiel läuft nicht,0.6761819851312774,Nein
33,1,-2.6279361262508143,13.494553565029062,Nein,Spiel läuft nicht,0.6490047760452506,Nein
34,0,1.5436529144308142,-11.890988868581182,Nein,Spiel läuft nicht,0.719142380419132,Nein
34,1,-2.6231660257196983,13.503816236697094,Nein,Spiel läuft nicht,0.4694244736117743,Nein
35,1,-2.6190482996267095,13.50535320526549,Nein,Spiel läuft nicht,0.34813456376922336,Nein
35,0,1.5470724564173741,-11.86283577098246,Nein,Spiel läuft nicht,0.780318904743965,Nein
36,0,1.5502784455426115,-11.833738012348984,Nein,Spiel läuft nicht,0.8652237293388936,Nein
36,1,-2.6158451831062797,13.50386870021672,Nein,Spiel läuft nicht,0.26770792887829525,Nein
37,0,1.5518544693677905,-11.79733722989685,Nein,Spiel läuft nicht,0.9805551990570409,Nein
37,1,-2.613356224477277,13.49458240519968,Nein,Spiel läuft nicht,0.23277730965737203,Nein
38,1,-2.6109782957244203,13.483478730902661,Nein,Spiel läuft nicht,0.22774125801601897,Nein
38,0,1.5561269997475173,-11.754769254599296,Nein,Spiel läuft nicht,1.1127940127904992,Nein
39,0,1.5622774347612953,-11.706633717566831,Nein,Spiel läuft nicht,1.2486259587927897,Nein
39,1,-2.6085645034633376,13.473352130136972,Nein,Spiel läuft nicht,0.24644491841919355,Nein
40,0,1.5693562791421103,-11.65530961120571,Nein,Spiel läuft nicht,1.3654597974248097,Nein
40,1,-2.606413189295484,13.464937812123074,Nein,Spiel läuft nicht,0.2631040139205582,Nein
41,0,1.576217600025985,-11.605024577425443,Nein,Spiel läuft nicht,1.4573418185025058,Nein
41,1,-2.6035547042712817,13.460009905428599,Nein,Spiel läuft nicht,0.25871205749170784,Nein
42,1,-2.600532835922214,13.453083891015439,Nein,Spiel läuft nicht,0.237016876866654,Nein
42,0,1.5795878064166462,-11.555192835328226,Nein,Spiel läuft nicht,1.4883449484063775,Nein
43,1,-2.59744611171088,13.445816350472327,Nein,Spiel läuft nicht,0.2095058392292211,Nein
43,0,1.5801871782254757,-11.501303809496916,Nein,Spiel läuft nicht,1.438322814056465,Nein
44,0,1.5793422195109192,-11.461887705954004,Nein,Spiel läuft nicht,1.3039434771564018,Nein
44,1,-2.5908734088009435,13.443870514280672,Nein,Spiel läuft nicht,0.19021734839932097,Nein
45,0,1.5784382633324527,-11.437107583598808,Nein,Spiel läuft nicht,1.1175282442100083,Nein
45,1,-2.5861433122320716,13.444625730534693,Nein,Spiel läuft nicht,0.17802491411915872,Nein
46,1,-2.5826862748273363,13.448320155183065,Nein,Spiel läuft nicht,0.17220009334103975,Nein
46,0,1.577205272809326,-11.417460086001983,Nein,Spiel läuft nicht,0.9055134862560049,Nein
47,1,-2.5800988725782434,13.455297150492775,Nein,Spiel läuft nicht,0.17097958239513522,Nein
47,0,1.5751022709802514,-11.402820303704702,Nein,Spiel läuft nicht,0.7029833970884756,Nein
48,1,-2.5720455119961607,13.45614766086555,Nein,Spiel läuft nicht,0.17928335057233535,Nein
48,0,1.571618317376499,-11.389211888693746,Nein,Spiel läuft nicht,0.5487306897767674,Nein
49,0,1.5664989108050509,-11.376944896693509,Nein,Spiel läuft nicht,0.4649662546426111,Nein
49,1,-2.566101153641213,13.459345117732,Nein,Spiel läuft nicht,0.19618086880170366,Nein
50,0,1.5604263232307125,-11.364574960645697,Nein,Spiel läuft nicht,0.4352240006536115,Nein
50,1,-2.561517888081185,13.464740908096443,Nein,Spiel läuft nicht,0.21564811928612176,Nein
51,0,1.5531176630427832,-11.351489942072558,Nein,Spiel läuft nicht,0.4416584389779014,Nein
51,1,-2.5498073982183467,13.463491863006617,Nein,Spiel läuft nicht,0.23328563298629643,Nein
52,0,1.544726768336938,-11.338308883569889,Nein,Spiel läuft nicht,0.4838657673793753,Nein
52,1,-2.5412225007547096,13.464655024325346,Nein,Spiel läuft nicht,0.23672005423860104,Nein
53,0,1.5352373913499031,-11.319545326714016,Nein,Spiel läuft nicht,0.5575905610716714,Nein
53,1,-2.5345601807273415,13.466660653900554,Nein,Spiel läuft nicht,0.24134539151246565,Nein
54,1,-2.529199195092047,13.470069406611316,Nein,Spiel läuft nicht,0.26304351793192704,Nein
54,0,1.525142494491085,-11.295031120092112,Nein,Spiel läuft nicht,0.6651041614502524,Nein
55,0,1.5133831614249829,-11.26707263486642,Nein,Spiel läuft nicht,0.8014073579081242,Nein
55,1,-2.5183221100147057,13.461225045838827,Nein,Spiel läuft nicht,0.3041549093481833,Nein
56,1,-2.5066604523845912,13.446762495716005,Nein,Spiel läuft nicht,0.3559666773139045,Nein
56,0,1.5010960668383575,-11.23006619637177,Nein,Spiel läuft nicht,0.9416593802122304,Nein
57,0,1.4875289769116231,-11.189005461822779,Nein,Spiel läuft nicht,1.024399900632577,Nein
57,1,-2.49669526506157,13.437527032303985,Nein,Spiel läuft nicht,0.3994042693940176,Nein
58,1,-2.4847683203316073,13.420286982135051,Nein,Spiel läuft nicht,0.41682852682984395,Nein
58,0,1.473894710921463,-11.151933947338359,Nein,Spiel läuft nicht,1.0192910521526592,Nein
59,0,1.4614368223573908,-11.133514149302357,Nein,Spiel läuft nicht,0.9237530514701199,Nein
59,1,-2.4754161835093407,13.416710463530098,Nein,Spiel läuft nicht,0.3975338336305322,Nein
60,0,1.4496683726326278,-11.1239476509066,Nein,Spiel läuft nicht,0.774485446386093,Nein
60,1,-2.469399708961372,13.421079550269216,Nein,Spiel läuft nicht,0.3995750343950428,Nein
61,0,1.4379675422525897,-11.120099048583079,Nein,Spiel läuft nicht,0.6009490682492997,Nein
61,1,-2.466285636257406,13.436553285491438,Nein,Spiel läuft nicht,0.4451573865177099,Nein
62,1,-2.4649876124592853,13.462554574626854,Nein,Spiel läuft nicht,0.5306207845786999,Nein
62,0,1.4259823789329062,-11.120216773028845,Nein,Spiel läuft nicht,0.4595666638497302,Nein
63,1,-2.464533767709859,13.496646083141087,Nein,Spiel läuft nicht,0.634800034142707,Nein
63,0,1.4147478747030042,-11.122421040752673,Nein,Spiel läuft nicht,0.37467839144302983,Nein
64,0,1.404806465302458,-11.126037742781554,Nein,Spiel läuft nicht,0.345178505422934,Nein
64,1,-2.4632169547058025,13.522581499081287,Nein,Spiel läuft nicht,0.7299187273716821,Nein
65,1,-2.4613672037544445,13.5464340664019,Nein,Spiel läuft nicht,0.7704502820748839,Nein
65,0,1.3949806268575795,-11.131014485597333,Nein,Spiel läuft nicht,0.33673994088333137,Nein
66,0,1.3850632407215282,-11.137405790862307,Nein,Spiel läuft nicht,0.3310283809431923,Nein
66,1,-2.4591215378435978,13.568623408746063,Nein,Spiel läuft nicht,0.7461364767779757,Nein
67,0,1.3771030460911773,-11.145132914183218,Nein,Spiel läuft nicht,0.3263327729213432,Nein
67,1,-2.4565845828801396,13.58953486974627,Nein,Spiel läuft nicht,0.6956854964722103,Nein
68,1,-2.4538072454017708,13.609549044160321,Nein,Spiel läuft nicht,0.7897614797651866,Nein
68,0,1.3724340650726565,-11.153860463992281,Nein,Spiel läuft nicht,0.3312669000966887,Nein
69,1,-2.450853393489604,13.628916571061552,Nein,Spiel läuft nicht,0.8693993658725536,Nein
69,0,1.3707029942570736,-11.165263140431577,Nein,Spiel läuft nicht,0.34903588271872077,Nein
70,1,-2.440695034642743,13.719563189792325,Nein,Spiel läuft nicht,0.9226755268810289,Nein
70,0,1.3714485098904357,-11.17997241769665,Nein,Spiel läuft nicht,0.3805973210275482,Nein
71,1,-2.440760705156806,13.720786033374203,Nein,Spiel läuft nicht,0.8039914396956334,Nein
71,0,1.3713908044935288,-11.195984410155646,Nein,Spiel läuft nicht,0.42840054308643194,Nein
72,1,-2.4406819832511077,13.72228331563725,Nein,Spiel läuft nicht,0.6914774145460795,Nein
