Frame,Object.ID,Transformed.X,Transformed.Y,Speed,Spiel läuft,Game,Spieler schlägt
0,0,1.6403386846312775,-12.056090670181614,0.6822547268556532,Nein,Spiel läuft nicht,Nein
1,0,1.6408433288975133,-12.053270493206533,0.5447852656055442,Nein,Spiel läuft nicht,Nein
2,0,1.6405311128873474,-12.051376264603249,0.4316346966145703,Nein,Spiel läuft nicht,Nein
3,0,1.638165249994318,-12.051634014297967,0.33975667071434207,Nein,Spiel läuft nicht,Nein
4,0,1.6324753103894114,-12.053029530351187,0.2663595946753121,Nein,Spiel läuft nicht,Nein
5,0,1.6262981431525376,-12.055572428887542,0.20889606197821808,Nein,Spiel läuft nicht,Nein
6,0,1.6212414136098738,-12.058624030910206,0.16505228358552493,Nein,Spiel läuft nicht,Nein
7,0,1.6166307426127728,-12.061408308965374,0.13273751871286776,Nein,Spiel läuft nicht,Nein
8,0,1.612709312622973,-12.063395189465474,0.11007350560049389,Nein,Spiel läuft nicht,Nein
9,0,1.6094691721965235,-12.065232002162636,0.09538389228470578,Nein,Spiel läuft nicht,Nein
9,1,-2.3873916459175977,12.677928992866928,2.3504517366314492,Nein,Spiel läuft nicht,Nein
10,0,1.6043439078054933,-12.066762194974665,0.08718366736930372,Nein,Spiel läuft nicht,Nein
11,0,1.6007189049947883,-12.06761662318094,0.08416859079702754,Nein,Spiel läuft nicht,Nein
11,1,-2.3794159434070945,12.59762831614924,1.8963183784228472,Nein,Spiel läuft nicht,Nein
12,0,1.5976133394297354,-12.067820121341104,0.08520462462100031,Nein,Spiel läuft nicht,Nein
12,1,-2.386668042536511,12.602499897623337,1.5477359639969195,Nein,Spiel läuft nicht,Nein
13,0,1.5952138667224003,-12.06731923620612,0.08931736377617039,Nein,Spiel läuft nicht,Nein
13,1,-2.402230406427356,12.616236772866333,1.2891826716111465,Nein,Spiel läuft nicht,Nein
14,0,1.593403127448847,-12.065738773365371,0.09568146685075296,Nein,Spiel läuft nicht,Nein
14,1,-2.433407482617616,12.630124016621966,1.1064802740361794,Nein,Spiel läuft nicht,Nein
15,0,1.5917630640629978,-12.06348556704269,0.10361008685767426,Nein,Spiel läuft nicht,Nein
15,1,-2.465286317483285,12.637995024072165,0.9867403015038319,Nein,Spiel läuft nicht,Nein
16,0,1.5869835323363972,-12.060541805456934,0.11254430200601317,Nein,Spiel läuft nicht,Nein
16,1,-2.4946579815798744,12.658138562402236,0.9183102046550684,Nein,Spiel läuft nicht,Nein
17,0,1.5810422444026837,-12.056870946697954,0.1220425464724445,Nein,Spiel läuft nicht,Nein
17,1,-2.5196602433675364,12.659443573557772,0.890719517487998,Nein,Spiel läuft nicht,Nein
18,0,1.5747972345009633,-12.052807049170603,0.1317700411726792,Nein,Spiel läuft nicht,Nein
18,1,-2.538761263108821,12.669144410789462,0.8946260203058629,Nein,Spiel läuft nicht,Nein
19,0,1.5670635012431402,-12.048981890306422,0.14148822453291143,Nein,Spiel läuft nicht,Nein
19,1,-2.5529109766719404,12.706559750601881,0.921761902665029,Nein,Spiel läuft nicht,Nein
20,0,1.557511190041351,-12.046031332474872,0.15104418326125568,Nein,Spiel läuft nicht,Nein
20,1,-2.5667424398139684,12.781265888951031,0.964879926322979,Nein,Spiel läuft nicht,Nein
21,0,1.5483491954772068,-12.043700793494764,0.16036008311919303,Nein,Spiel läuft nicht,Nein
21,1,-2.5724739517401747,12.804311996042554,1.017699588186301,Nein,Spiel läuft nicht,Nein
22,0,1.5399288977289842,-12.040283663319823,0.1694225996930142,Nein,Spiel läuft nicht,Nein
22,1,-2.5789380655639618,12.851710769604395,1.0748532832586788,Nein,Spiel läuft nicht,Nein
23,0,1.5337039011645366,-12.03560576355753,0.17827234916525758,Nein,Spiel läuft nicht,Nein
23,1,-2.5843584279448275,12.915855977887698,1.1318324675888858,Nein,Spiel läuft nicht,Nein
24,0,1.5292519281207138,-12.029238097401663,0.18699331908615646,Nein,Spiel läuft nicht,Nein
24,1,-2.587860899296161,12.985110017342398,1.184933821218772,Nein,Spiel läuft nicht,Nein
25,0,1.52674592015953,-12.02136235316824,0.19570229914794393,Nein,Spiel läuft nicht,Nein
25,1,-2.5896583300409746,13.03113887490498,1.2312054111312571,Nein,Spiel läuft nicht,Nein
26,0,1.525758367016939,-12.010979430600917,0.1941965112452521,Nein,Spiel läuft nicht,Nein
26,1,-2.5899889212510994,13.082231290146808,1.2683928541983236,Nein,Spiel läuft nicht,Nein
27,0,1.5254139796553483,-11.99598879527429,0.20368335821694397,Nein,Spiel läuft nicht,Nein
27,1,-2.5916288856099166,13.136880838451365,1.2948854801289955,Nein,Spiel läuft nicht,Nein
28,0,1.5254628659370395,-11.978390364654807,0.2218759496447189,Nein,Spiel läuft nicht,Nein
28,1,-2.594527702217806,13.188330918987596,1.3096624944173483,Nein,Spiel läuft nicht,Nein
29,0,1.5267829327573783,-11.958884470110313,0.24612428726334665,Nein,Spiel läuft nicht,Nein
29,1,-2.598651629510456,13.23755684521879,1.3122391412904857,Nein,Spiel läuft nicht,Nein
30,0,1.5290067418541577,-11.938480920193648,0.2684007684904654,Nein,Spiel läuft nicht,Nein
30,1,-2.5993581770580576,13.268292233944122,1.3026128666565318,Nein,Spiel läuft nicht,Nein
31,0,1.5322372498554189,-11.917182064514485,0.28810591865702384,Nein,Spiel läuft nicht,Nein
31,1,-2.599387345717738,13.292669238684066,1.2812094810526273,Nein,Spiel läuft nicht,Nein
32,0,1.5361439852326575,-11.89619852943899,0.3050313358471616,Nein,Spiel läuft nicht,Nein
