frame,object_id,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z
0,0,-0.2408873438835144,0.7024915814399719,5.87598991394043,,,
1,0,-0.24092242121696472,0.7027743458747864,5.869638442993164,0.7299662232398987,0.009467663243412971,0.001242105383425951
2,0,-0.24126413464546204,0.7030470371246338,5.8641533851623535,-0.05429346486926079,0.050872355699539185,-0.39349958300590515
3,0,-0.24145923554897308,0.7032878994941711,5.859679222106934,-0.02452337183058262,0.03494897484779358,-0.2701907157897949
4,0,-0.24157732725143433,0.703506350517273,5.855965614318848,-0.012826423160731792,0.02675544284284115,-0.20648382604122162
5,0,-0.2416212409734726,0.7037326693534851,5.852116584777832,-0.004515303298830986,0.02409544587135315,-0.1848614662885666
6,0,-0.24151356518268585,0.7038629651069641,5.85031270980835,-0.007862374186515808,0.016528863459825516,-0.12700064480304718
7,0,-0.24141673743724823,0.7039116621017456,5.850040435791016,-0.004532244987785816,0.009562966413795948,-0.07320492714643478
8,0,-0.24133269488811493,0.7039003372192383,5.8502421379089355,-0.0022608377039432526,0.0047889593988657,-0.0365152470767498
9,0,-0.24126562476158142,0.7038581371307373,5.850648880004883,-0.001345615484751761,0.002847187453880906,-0.021734073758125305
10,0,-0.24121223390102386,0.7037742137908936,5.851386547088623,-0.0004582950787153095,0.0009690534207038581,-0.007402999326586723
11,0,-0.24110201001167297,0.7036763429641724,5.852202892303467,-0.0003277176874689758,0.0006907901261001825,-0.005294439382851124
12,0,-0.24095147848129272,0.7035757899284363,5.8529438972473145,-0.00039935525273904204,0.0008371611475013196,-0.006451325491070747
13,0,-0.24084210395812988,0.7034658789634705,5.853706359863281,-0.00039253514842130244,0.000823361799120903,-0.006341103930026293
14,0,-0.2407016158103943,0.7033347487449646,5.854780197143555,-0.0007898204494267702,0.0016578901559114456,-0.012758500874042511
14,1,8.126269340515137,-1.28995680809021,14.157569885253906,-4.197329417365836e-08,3.0500107186526293e-06,3.019916903213016e-07
15,0,-0.2405901849269867,0.7031850218772888,5.8561224937438965,-0.001125698909163475,0.002370360540226102,-0.01818309724330902
16,0,-0.24048803746700287,0.7030414938926697,5.857186794281006,-0.0009752229088917375,0.002057279460132122,-0.01575201377272606
17,0,-0.2404017448425293,0.7028862237930298,5.858412265777588,-0.0012192127760499716,0.00257510575465858,-0.019692523404955864
18,0,-0.24032507836818695,0.7027179598808289,5.859679222106934,-0.0013589404989033937,0.0028727755416184664,-0.021948926150798798
19,0,-0.24022559821605682,0.7025559544563293,5.860734939575195,-0.0012736202916130424,0.0026893571484833956,-0.020571306347846985
20,0,-0.24011102318763733,0.7023974657058716,5.861880302429199,-0.001449157134629786,0.003040541894733906,-0.023409102112054825
21,0,-0.24001502990722656,0.7022213339805603,5.863232135772705,-0.001696494990028441,0.003546427469700575,-0.027406087145209312
22,0,-0.23992760479450226,0.7020636200904846,5.864457130432129,-0.0016422605840489268,0.0034315711818635464,-0.0265301913022995
23,0,-0.23981572687625885,0.7019197940826416,5.865468978881836,-0.0015106977662071586,0.003162174019962549,-0.024404169991612434
24,0,-0.23968073725700378,0.7017545104026794,5.866844654083252,-0.0019127255072817206,0.004024921916425228,-0.030895762145519257
