Frame,Object ID,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z,Bounding Box X1,Bounding Box Y1,Bounding Box Z1,Bounding Box X2,Bounding Box Y2,Bounding Box Z2,Bounding Box X3,Bounding Box Y3,Bounding Box Z3,Bounding Box X4,Bounding Box Y4,Bounding Box Z4,Bounding Box X5,Bounding Box Y5,Bounding Box Z5,Bounding Box X6,Bounding Box Y6,Bounding Box Z6,Bounding Box X7,Bounding Box Y7,Bounding Box Z7,Bounding Box X8,Bounding Box Y8,Bounding Box Z8
0,0,0.7065261602401733,0.19121748208999634,0.8172499537467957,0.9179354310035706,0.046709608286619186,0.013686133548617363,0.45083928,0.018729672,0.53844726,0.45083928,-0.117029145,1.0017914,0.9329851,-0.09249459,1.0089799,0.9329851,0.043264195,0.5456358,0.42956665,0.403723,0.65124947,0.42956665,0.26796418,1.1145935,0.91171247,0.2924987,1.1217821,0.91171247,0.42825752,0.658438
0,1,-8.568687438964844,-3.6327340602874756,13.967792510986328,1.6319236755371094,0.08302793651819229,0.024327442049980164,-8.8882265,-4.3284645,13.412769,-8.8882265,-4.5233927,14.078057,-8.195943,-4.488165,14.088379,-8.195943,-4.2932367,13.423091,-8.97146,-2.8220844,13.8541355,-8.97146,-3.0170121,14.5194235,-8.279177,-2.9817846,14.529745,-8.279177,-2.7868567,13.864457
0,3,-8.705291748046875,-3.860473394393921,15.12770938873291,6.804536819458008,0.34624120593070984,0.10144813358783722,-9.0845,-4.5098467,14.612487,-9.0845,-4.719089,15.32663,-8.341378,-4.6812744,15.337709,-8.341378,-4.472032,14.623567,-9.160205,-3.13974,15.013926,-9.160205,-3.3489823,15.728068,-8.417083,-3.3111677,15.739148,-8.417083,-3.1019254,15.025005
0,4,-1.6511030197143555,-6.542074680328369,24.904565811157227,8.329981803894043,0.42385801672935486,0.12418966740369797,-1.8655559,-7.2636805,24.499578,-1.8655559,-7.415082,25.01631,-1.3278565,-7.3877206,25.024328,-1.3278565,-7.236319,24.507595,-1.9454019,-5.8186245,24.922976,-1.9454019,-5.970026,25.439709,-1.4077024,-5.9426646,25.447725,-1.4077024,-5.791263,24.930994
1,0,0.7092465758323669,0.18575185537338257,0.8372198343276978,0.21917514503002167,-0.2521348297595978,0.9019721150398254,0.46077356,0.000948593,0.567284,0.46077356,-0.1345511,1.029788,0.9420409,-0.110050306,1.036966,0.9420409,0.02544941,0.574462,0.43934757,0.38854915,0.6808392,0.43934757,0.25304946,1.1433432,0.92061496,0.27755025,1.1505213,0.92061496,0.41304994,0.68801725
1,1,-8.56567668914795,-3.6339242458343506,13.974227905273438,0.09692538529634476,-0.126872718334198,0.4513441026210785,-8.838857,-4.335234,13.425359,-8.838857,-4.53173,14.096062,-8.1409445,-4.4962,14.106471,-8.1409445,-4.2997046,13.435768,-8.92236,-2.8246245,13.867922,-8.92236,-3.0211205,14.538625,-8.224448,-2.9855905,14.549034,-8.224448,-2.7890947,13.878331
1,3,-8.75999927520752,-3.9122161865234375,15.331628799438477,-2.8722565174102783,-1.6410413980484009,5.059453010559082,-9.101316,-4.5766997,14.820322,-9.101316,-4.784799,15.530632,-8.36219,-4.747171,15.541656,-8.36219,-4.5390716,14.831346,-9.177185,-3.2042263,15.222415,-9.177185,-3.4123256,15.932725,-8.438059,-3.3746974,15.943748,-8.438059,-3.166598,15.233439
1,4,-1.6514025926589966,-6.645511150360107,25.26350212097168,0.06139601767063141,-2.6052749156951904,8.904224395751953,-1.8807746,-7.3671393,24.834166,-1.8807746,-7.5191817,25.353134,-1.3407526,-7.49169,25.361189,-1.3407526,-7.339648,24.84222,-1.9607227,-5.920862,25.257881,-1.9607227,-6.0729046,25.77685,-1.4207007,-6.0454125,25.784904,-1.4207007,-5.89337,25.265936
2,0,0.716185450553894,0.18075579404830933,0.8591684699058533,0.29934439063072205,-0.2132171392440796,0.7843804955482483,0.47541764,-0.0039889812,0.586618,0.47541764,-0.13963579,1.0497348,0.9573152,-0.11513038,1.0569124,0.9573152,0.020516425,0.59379566,0.45381808,0.38720474,0.7011986,0.45381808,0.25155795,1.1643153,0.93571556,0.27606335,1.1714929,0.93571556,0.41171014,0.70837617
2,1,-8.553719520568848,-3.6345467567443848,13.976880073547363,0.3140748143196106,-0.05310012772679329,0.2404768317937851,-8.81782,-4.3316555,13.420025,-8.81782,-4.528585,14.09237,-8.118209,-4.4930086,14.102791,-8.118209,-4.2960787,13.430445,-8.901055,-2.8241634,13.861568,-8.901055,-3.0210934,14.533914,-8.201445,-2.9855168,14.544334,-8.201445,-2.788587,13.871989
